Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate,Displacement,Country,YEAR
XE3,ENG,XE,SS,33,1944,paid off 1945,,,
XE4,ENG,XE,SS,33,1944,paid off 1945,,,
XE5,ENG,XE,SS,33,1944,paid off 1945,,,
XE6,ENG,XE,SS,33,1944,paid off 1945,,,
XE7,ENG,XE,SS,33,1944,paid off 1952,,,
XE8,ENG,XE,SS,33,1944,"sunk as target 1952, recovered 1973; museum ship",,,
XE9,ENG,XE,SS,33,1944,paid off 1952,,,
XE10,ENG,XE,SS,33,,cancelled incomplete 1945,,,
XE11,ENG,XE,SS,33,1944,lost 6 March 1945,,,
XE12,ENG,XE,SS,33,1944,paid off 1952,,,
Xenia,USA,Artemis,attack cargo ship,4087,28 July 1945,"armed combat transport, decommissioned 1962",,,
XT1,ENG,XT,training submarine,30,1944,paid off 1945,,,
XT2,ENG,XT,training submarine,30,1944,paid off 1945,,,
XT3,ENG,XT,training submarine,30,1944,paid off 1945,,,
XT4,ENG,XT,training submarine,30,1944,paid off 1945,,,
XT5,ENG,XT,training submarine,30,1944,paid off 1945,,,
XT6,ENG,XT,training submarine,30,1944,paid off 1945,,,
O'Brien,USA,Sims,DD,1570.0,2 March 1940,sunk 19 October 1942,,,
Oakland,USA,Atlanta,CL,6000.0,17 July 1943,"decommissioned 1949, scrapped 1959",,,
Oakley,ENG,Hunt,DD,1050.0,7 May 1942,,,,
Oakville,Royal Canadian Navy,Flower,K,925.0,18 November 1941,paid off 20 July 1945,,,
Obdurate,ENG,O,minelayer destroyer,1540.0,3 September 1942,"paid off 1948, scrapped 1965",,,
Obedient,ENG,O,minelayer destroyer,1540.0,30 October 1942,"paid off 1957, scrapped 1962",,,
Oberon,ENG,Odin,SS,1922.0,24 August 1927,paid off 5 July 1944,,,
Ocean,ENG,Colossus,CV,13200.0,8 August 1945,scrapped May 1962,,,
Odin,ENG,Odin,SS,2038.0,21 December 1929,Sunk 14 June 1940,,,
Offa,ENG,O,DD,1540.0,20 September 1941,scrapped 1959,,,
Ōi,JPN,Kuma,CL,5100.0,10 October 1921,sunk by USS Flasher 19 July 1944,,,
Okinoshima,JPN,,CM,4290.0,30 September 1936,sunk 12 May 1942,,,
Oklahoma,USA,Nevada,BB,29000.0,2 May 1916,sunk 7 December 1941; raised and sunk under tow 1947,,,
Oklahoma City,USA,Cleveland,CL,11800.0,22 December 1944,"converted to missile cruiser 1960, sunk as target 1999",,,
Oktyabrskaya Revolutsiya,Soviet Navy,Gangut,BB,23000.0,3 June 1909,scrapped 1959,,,
Oldenburg,GER,,CM,1141.0,13 September 1943,former water tanker Garigiliano captured from Italy[5],,,
Olympus,ENG,Odin,SS,2038.0,14 June 1930,sunk 8 May 1942,,,
Omaha,USA,Omaha,CL,7050.0,24 February 1923,Scrapped February 1946,,,
Ommaney Bay,USA,Casablanca,CVE,7800.0,11 February 1944,scuttled 4 January 1945,,,
Onslaught,ENG,O,DD,1540.0,19 June 1942,scrapped 1977,,,
Onslow,ENG,O,DD,1540.0,8 October 1941,paid off April 1947,,,
Ontario,Royal Canadian Navy,Minotaur,CL,8800.0,July 1944,laid up 15 October 1958,,,
Opportune,ENG,O,minelayer destroyer,1540.0,14 August 1942,"paid off 1954, scrapped 1955",,,
Orchis,ENG,Flower,K,925.0,29 November 1940,21 August 1944,,,
Ordronaux,USA,Benson,DD,1620.0,13 February 1943,"decommissioned 1947, scrapped 1973",,,
Orillia,Royal Canadian Navy,Flower,K,925.0,25 November 1940,paid off 2 July 1945,,,
Orella,Chile,Serrano,DD,1090.0,,,,,
Oribi,ENG,O,DD,1540.0,5 July 1941,paid off 1 January 1946,,,
Orion,ENG,Leander,CL,7000.0,18 January 1934,scrapped 1949,,,
Orion,GER,,MC,15700.0,9 December 1939,sunk 4 May 1945,,,
Orkney,Royal Canadian Navy,River,FF,1445.0,18 April 1944,paid off 22 January 1946,,,
Orpheus,ENG,Odin,SS,2038.0,23 September 1930,Sunk 19 June 1940,,,
Orwell,ENG,O,minelayer destroyer,1540.0,17 October 1942,,,,
Orzeł,Poland,Orzeł,SS,1100.0,2 February 1939,sunk 11 June 1940,,,
Oscar II,Swedish Navy,Oscar II,coastal defence ship,,,"paid off 1950, scrapped 1974",,,
Osiris,ENG,Odin,SS,2038.0,25 January 1929,paid off 7 March 1945,,,
Oswald,ENG,Odin,SS,2038.0,1 May 1929,Sunk 1 August 1940,,,
Ottawa,Royal Canadian Navy,C,DD,1375.0,15 June 1938,sunk 14 September 1942 by U-91,,,
Otus,ENG,Odin,SS,2038.0,5 July 1929,paid off March 1946,,,
Otway,ENG,Odin,SS,1922.0,15 June 1927,paid off 1945,,,
Ouragan,French Navy  Free French Naval Forces  Poland,Bourrasque,DD,1319.0,19 January 1927,"to Poland 17 July 1940, to Free French 30 April 1941, scrapped 7 April 1949",,,
Outremont,Royal Canadian Navy,River,FF,1445.0,27 November 1943,paid off 7 June 1965,,,
Owen Sound,Royal Canadian Navy,Flower modified,K,1015.0,17 November 1943,19 July 1945,,,
Oxley,ENG,Odin,SS,1922.0,1 April 1927,sunk by friendly fire 10 September 1939,,,
Oxlip,ENG,Flower,K,925.0,28 December 1941,,,,
Ōyodo,JPN,Ōyodo,CL,11433.0,28 February 1943,sunk 25 July 1945,,,
Nabob,Royal Navy  Royal Canadian Navy,Ruler,CVE,11400,7 September 1943,"Crewed by RCN, paid off 10 October 1944, scrapped December 1977",,,
Nachi,JPN,Myōkō,CA,13380,,sunk 5 November 1944,,,
Nagara,JPN,Nagara,CL,5088,,lost 7 August 1944,,,
Nagato,JPN,Nagato,dreadnought,42850,25 November 1920,sunk as target 29 July 1946,,,
Nagpur,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Nairana,ENG,Nairana,CVE,14280,12 December 1943,"to Netherlands 23 March 1946, scrapped 1971",,,
Najaden,Royal Danish Navy,Najaden,torpedo boat,782,1947,,,,
Naka,JPN,Sendai,CL,7100,1925,sunk 17 February 1944,,,
Nanaimo,Royal Canadian Navy,Flower,K,925,26 April 1941,paid off 28 September 1945,,,
Napanee,Royal Canadian Navy,Flower,K,925,12 May 1941,paid off 12 July 1945,,,
Napier,Royal Australian Navy,N,DD,1773,28 November 1940,25 October 1945,,,
Narbada,Royal Indian Navy,Black Swan,SL,1250,,"Transferred to Pakistan 1948, renamed Jhelum",,,
Narcissus,ENG,Flower,K,925,17 July 1941,,,,
Nashville,USA,Brooklyn,CL,9475,6 June 1938,sold to Chile 1951 (Capitan Prat),,,
Nasik,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Nassau,USA,Bogue,CVE,11400,20 August 1942,"decommissioned 28 October 1946, scrapped June 1961",,,
Nasturtium,ENG,Flower,K,925,26 September 1940,,,,
Natal,South African Navy,Loch,FF,1435,9 March 1945,Decommissioned 1 September 1965,,,
Natoma Bay,USA,Casablanca,CVE,7800,14 October 1943,"decommissioned 20 May 1946, scrapped 1959",,,
Natori,JPN,Nagara,CL,5088,,lost 18 August 1944,,,
Natsuzuki,JPN,Akizuki,DD,2700,8 April 1945,scrapped after the war,,,
Nehenta Bay,USA,Casablanca,CVE,7800,3 January 1944,"decommissioned 15 May 1946, scrapped 1960",,,
Nelson,ENG,Nelson,BB,34000,10 September 1927,"decommissioned February 1948, scrapped March 1949",,,
Nelson,USA,Gleaves,DD,1630,26 November 1942,"decommissioned 1947, scrapped 1969",,,
Nene,Royal Navy  Royal Canadian Navy,River,FF,1445,8 April 1943,"to Canada 4 June 1944, paid off 11 June 1945",,,
Nepal,Royal Australian Navy,N,DD,1773,29 May 1942,"paid off 22 October 1945, sold for scrap 1955",,,
Neptune,ENG,Leander,CL,7000,23 February 1934,lost 19 December 1941,,,
Nestor,Royal Australian Navy,N,DD,1773,12 February 1941,scuttled 15 June 1942,,,
Nevada,USA,Nevada,BB,29000,11 March 1916,decommissioned 29 July 1946; sunk as a target 31 July 1948,,,
New Glasgow,Royal Canadian Navy,River,FF,1445,22 December 1943,paid off 30 January 1967,,,
New Jersey,USA,Iowa,BB,57271,23 May 1943,decommissioned 1991. museum ship,,,
New Mexico,USA,New Mexico,BB,33000,20 May 1918,Scrapped November 1947,,,
New Orleans,USA,New Orleans,CA,9950,12 April 1933,"Decommissioned 10 February 1947, scrapped 1959",,,
New Waterford,Royal Canadian Navy,River,FF,1445,21 January 1944,paid off 2 December 1966,,,
New Westminster,Royal Canadian Navy,Flower,K,925,31 January 1942,paid off 21 June 1945,,,
New York,USA,New York,BB,27000,15 April 1914,"decommissioned 29 August 1946, sunk as target 8 July 1948",,,
Newark,ENG,Town,DD,1060,26 November 1940,scrapped February 1947,,,
Newfoundland,ENG,Fiji,CL,8800,21 January 1943,"sold to Peru 1959, renamed Almirante Grau",,,
Newmarket,ENG,Town,DD,1060,26 November 1940,scrapped September 1945,,,
Newport,Royal Norwegian Navy,Town,DD,1190,March 1942,"June 1942, returned to RN",,,
Niagara,Royal Canadian Navy,Town,DD,1190,24 September 1940,paid off 27 May 1946,,,
Niblack,USA,Gleaves,DD,1630,1 August 1940,Sold 16 August 1973 and broken up for scrap,,,
Nicholson,USA,Gleaves,DD,1630,3 June 1941,"to Italy 1951, sunk as target 1975",,,
Niedersachsen,GER,,CM,1794,20 December 1943,"former French transport Guyane, sunk by HMS Upstart 15 February 1944[5]",,,
Nields,USA,Benson,DD,1620,15 January 1943,"decommissioned 1946, scrapped 1972",,,
Niels Juel,Royal Danish Navy,Niels Juel,coastal defence ship,3400,23 May 1923,"beached 29 August 1943, captured by Germany, sunk 3 May 1945",,,
Nigella,ENG,Flower,K,925,25 February 1941,,,,
Nigeria,ENG,Fiji,CL,8000,23 September 1940,"sold to India 29 August 1957, renamed Mysore",,,
Ning Hai,Republic of China Navy,,CL,2200,,became Ioshima (Japan),,,
Niobe,GER,Holland,anti-aircraft cruiser,4100,1 March 1941,"former Dutch cruiser Gelderland, sunk Kotka 16 July 1944",,,
Nizam,Royal Australian Navy,N,DD,1773,19 December 1940,"paid off 17 October 1945, sold for scrap 1955",,,
Noordbrabant,Royal Netherlands Navy,Holland,C,4033,1 March 1900,Scuttled 17 May 1940,,,
Nootka,Royal Canadian Navy,Tribal,DD,1927,9 August 1946,"built and launched during the war, paid off 6 February 1964",,,
Norge,Royal Norwegian Navy,Eidsvold,coastal defence ship,4230,7 February 1901,sunk 9 April 1940,,,
Norman,Royal Australian Navy,N,DD,1773,29 September 1941,"paid off October 1945, sold for scrap 1958",,,
North Carolina,USA,North Carolina,BB,35000,9 April 1941,"decommissioned 27 June 1947, museum ship",,,
Northampton,USA,Northampton,CA,9050,17 May 1930,lost 1 December 1942,,,
Noshiro,JPN,Agano,CL,6650,,Sunk 26 October 1944,,,
Norsyd,Royal Canadian Navy,Flower modified,K,1015,22 December 1943,25 June 1945,,,
North Bay,Royal Canadian Navy,Flower modified,K,1015,25 October 1943,5 June 1945,,,
Nubian,ENG,Tribal,DD,2020,6 December 1938,scrapped 1949,,,
Nürnberg,GER,,CL,6980,2 November 1935,"transferred to Soviet Union as Admiral Makarov, scrapped 1960",,,
Nymfen,Royal Danish Navy,Najaden,torpedo boat,782,1947,,,,
Nymphe,GER,Tordenskjold,coastal defence ship,3858,21 March 1898,"former Tordenskjold, captured by Germany 9 April 1940, scrapped 1948",,,
Yahagi,JPN,Agano,CL,6650,29 December 1943,Sunk 7 April 1945,,,
Yakov Sverdlov,Soviet Navy,Novik,DD,1260,9 September 1913,Sunk 28 August 1941,,,
Yakumo,JPN,,armored cruiser,9646,20 June 1900,Scrapped 1 April 1947,,,
Yamashiro,JPN,Fusō,dreadnought,39154,31 March 1917,Sunk 25 October 1944,,,
Yamato,JPN,Yamato,BB,74170,16 December 1941,Sunk 7 April 1945,,,
Yorktown (CV-5),USA,Yorktown,CV,19900,30 September 1937,Sunk 7 June 1942,,,
Yorktown (CV-10),USA,Essex,CV,30800,15 April 1943,"Decommissioned 27 June 1970, museum ship Charleston, South Carolina",,,
Yubari,JPN,,CL,2890,23 July 1923,Sunk 27 April 1944,,,
Yukikaze,JPN,Kagero,DD,2490,20 January 1940,"To China 1947, renamed Tan Yang",,,
Yura,JPN,Nagara,CL,5088,20 March 1923,Lost 25 October 1942,,,
J-826,ENG,BYMS,AM,360,1 February 1943,from 1950 oceanographic research vessel RV Calypso,,,
Jackal,ENG,J,DD,1690,31 March 1939,scuttled 11 May 1942,,,
Jacob van Heemskerk,Royal Netherlands Navy,Tromp,C,4064,16 September 1939,decommissioned 20 November 1969,,,
Jaguar,GER,Raubtier,torpedo boat,1320,1 June 1929,sunk 15 June 1944,,,
Jaguar,ENG,J,DD,1690,12 September 1939,sunk 26 March 1942 by U-652,,,
Jamaica,ENG,Fiji,CL,8000,29 June 1942,scrapped 1960,,,
Janus,ENG,J,DD,1690,5 August 1939,sunk 23 January 1944,,,
Jarvis,USA,Bagley,DD,1500,27 October 1937,sunk 9 August 1942,,,
Jasmine,ENG,Flower,K,925,16 May 1941,,,,
Java,Royal Netherlands Navy,Java,C,8078,1925,sunk 27 February 1942,,,
Javelin,ENG,J,DD,1690,10 June 1939,scrapped 1949,,,
Jean Bart,FRA,Courbet,dreadnought,23475,5 June 1913,"captured Germany 27 November 1942, sunk 1944, scrapped 14 December 1945",,,
Jean de Vienne,FRA,La Galissonnière,CL,7600,10 February 1937,scuttled 27 November 1942,,,
Jeanne d'Arc,FRA,Jeanne d'Arc,CL,6496,14 August 1931,scrapped 1965,,,
Jeffers,USA,Gleaves,DD,1630,5 November 1942,"decommissioned 1955, scrapped 1973",,,
Jersey,ENG,J,DD,1690,28 April 1939,sank 4 May 1941,,,
Jervis,ENG,J,DD,1690,12 May 1939,scrapped 1949,,,
Jervis Bay,ENG,Armed Merchant Cruiser,,14164,1 October 1940,sunk 5 November 1940,,,
Jintsu,JPN,Sendai,CL,7100,31 July 1925,sunk 13 July 1943,,,
Johan Maurits van Nassau (I),Royal Netherlands Navy,Johan Maurits van Nassau,GB,1537,5 April 1933,sunk 14 May 1940,,,
Johan Maurits van Nassau (II),Royal Netherlands Navy,River,FF,1400,25 June 1943,"decommissioned 1958, sold for scrap 15 January 1959",,,
Johnston,USA,Fletcher,DD,2700,27 October 1943,sunk 25 October 1944,,,
Joliette,Royal Canadian Navy,River,FF,1445,14 June 1944,paid off 19 November 1945,,,
Jonquiere,Royal Canadian Navy,River,FF,1445,10 May 1944,paid off 23 September 1966,,,
Jonquil,ENG,Flower,K,925,21 October 1940,,,,
Jouett,USA,Somers,DD,1850,25 January 1939,scrapped 1946,,,
Juan De Garray,Argentine Navy,Churruca,DD,1522,,paid off 25 March 1960,,,
Jujuy,Argentine Navy,Catamarca,DD,1010,,Sold 10 January 1957,,,
Jumna,Royal Indian Navy,Black Swan,SL,1250,13 May 1941,,,,
Juneau,USA,Atlanta,CL,6000,14 February 1942,Sunk 13 November 1942,,,
Juno,ENG,J,DD,1690,25 August 1939,sunk 21 May 1941,,,
Junyō,JPN,Hiyō,CV,26949,5 May 1942,scrapped 1947,,,
Jupiter,ENG,J,DD,1690,25 June 1939,sank 28 February 1942,,,
Kadashan Bay,USA,Casablanca,CVE,7800,18 January 1944,"decommissioned 14 June 1946, scrapped 1959",,,
Kaga,JPN,,CV,38200,1 November 1929,sunk 4 June 1942,,,
Kaganovich,Soviet Navy,Maxim Gorkiy (Project 26 bis),CA,8200,6 December 1944,,,,
Kako,JPN,Furutaka,CA,7950,31 July 1926,sunk 10 August 1942,,,
Kaiyō,JPN,,CV,13600,23 November 1943,former troop transport; scrapped 1 September 1946,,,
Kalinin Bay,USA,Casablanca,CVE,7800,27 November 1943,"decommissioned 15 May 1946, scrapped 1947",,,
Kalinin,Soviet Navy,Maxim Gorkiy (Project 26 bis),CA,8200,31 December 1942,,,,
Kalk,USA,Benson,DD,1620,17 October 1942,"decommissioned 1946, sunk as target 1969",,,
Kamloops,Royal Canadian Navy,Flower,K,925,17 March 1941,paid off 27 June 1945,,,
Kamsack,Royal Canadian Navy,Flower,K,925,4 October 1941,paid off 22 July 1945,,,
Kanaris,Hellenic Navy,Hunt,DD,1050,10 August 1942,"paid off 1959, scrapped 1960",,,
Kandahar,ENG,K,DD,1690,10 October 1939,sunk 20 December 1941,,,
Karachi,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Karlsruhe,GER,K,CL,6650,6 November 1929,sunk 9 April 1940,,,
Kasaan Bay,USA,Casablanca,CVE,7800,4 December 1943,"decommissioned 6 July 1946, scrapped 1960",,,
Kashii,JPN,Katori,CL,6180,15 July 1941,sunk 12 January 1945,,,
Kashima,JPN,Katori,CL,6180,31 May 1940,struck 5 October 1945; scrapped 1947,,,
Kashmir,ENG,K,DD,1690,26 October 1939,sunk 23 May 1941,,,
Katori,JPN,Katori,CL,6180,20 April 1940,sunk 18 February 1944,,,
Katsuragi,JPN,Unryū,CV,17150,15 October 1944,Scrapped 1947,,,
Kearny,USA,Gleaves,DD,1630,13 September 1940,"decommissioned 1946, scrapped 1972",,,
Keith,ENG,B,DD,1350,20 March 1931,sunk 1 June 1940,,,
Kelly,ENG,K,DD,1690,23 August 1939,sunk 23 May 1941,,,
Kelvin,ENG,K,DD,1690,27 November 1939,scrapped 1949,,,
Kempenfelt,ENG,W,DD,1710,25 October 1943,paid off January 1946,,,
Kendrick,USA,Benson,DD,1620,12 September 1942,"decommissioned 1946, sunk as target 1966",,,
Kenogami,Royal Canadian Navy,Flower,K,925,29 June 1941,paid off 9 July 1945,,,
Kent,ENG,County,CA,9750,25 June 1928,scrapped January 1948,,,
Kenya,ENG,Fiji,CL,8000,27 September 1940,scrapped 1962,,,
Khartoum,ENG,K,DD,1690,6 November 1939,sunk 23 June 1940,,,
Khedive,ENG,Ruler,CVE,11400,25 August 1943,"paid off 19 July 1946, scrapped 1975",,,
Kidd,USA,Fletcher,DD,2500,23 April 1943,"decommissioned 1964, museum ship at Baton Rouge, LA",,,
Kilkis,Hellenic Navy,Mississippi,BB,13000,1 February 1908,former USS Mississippi (BB-23); sunk 23 April 1941,,,
Kimberley,ENG,K,DD,1690,21 February 1940,scrapped 1949,,,
King George V,ENG,King George V,BB,35000,11 December 1940,decommissioned and scrapped 1949,,,
Kingcup,ENG,Flower,K,925,30 December 1940,,,,
Kingston,ENG,K,DD,1690,14 September 1939,constructive total loss 11 April 1942,,,
Kinu,JPN,Nagara,CL,5088,10 November 1922,sunk 26 October 1944,,,
Kinugasa,JPN,Aoba,CA,9000,30 September 1927,sunk 13 November 1942,,,
Kipling,ENG,K,DD,1690,22 December 1939,sunk 11 May 1942,,,
Kirishima,JPN,Kongō,battlecruiser,36600,19 April 1915,sunk 15 November 1942,,,
Kirkland Lake,Royal Canadian Navy,River,FF,1445,21 August 1944,paid off 14 December 1945,,,
Kirov,Soviet Navy,Kirov (Project 26),CA,7880,23 September 1938,scrapped 1974,,,
Kiso,JPN,Kuma,CL,5100,29 January 1921,20 March 1944; sunk by USN aircraft west of Cavite,,,
Kistna,Royal Indian Navy,Black Swan,SL,1350,26 August 1943,Scrapped 1980,,,
Kitakami,JPN,Kuma,CL,5100,15 April 1921,30 November 1945; scrapped,,,
Kitchener,Royal Canadian Navy,Flower,K,925,28 June 1942,paid off 11 July 1945,,,
Kitkun Bay,USA,Casablanca,CVE,7800,15 December 1943,"decommissioned 19 April 1946, scrapped 1947",,,
Knapp,USA,Fletcher,DD,2500,16 September 1943,"Decommissioned: 4 March 1957, scrapped 1972",,,
Knight,USA,Gleaves,DD,1630,23 June 1942,"decommissioned 1947, sunk as target 1967",,,
Kokanee,Royal Canadian Navy,River,FF,1445,6 June 1944,paid off 21 December 1945,,,
Köln,GER,K,CL,6650,January 1930,sunk 3 March 1945,,,
Komet,GER,,MC,7500,2 June 1940,sunk 14 October 1942,,,
Kondor,GER,Raubvogel,torpedo boat,1290,15 July 1927,decommissioned 28 June 1944,,,
Kongō,JPN,Kongō,battlecruiser,36600,16 August 1913,sunk 21 November 1944,,,
Königsberg,GER,K,CL,6650,17 April 1929,"sunk 10 April 1940, at Bergen, Norway",,,
Kormoran,GER,,MC,19900,9 October 1940,"scuttled, 19 November 1941",,,
Kortenaer,Royal Netherlands Navy,Admiralen,DD,1680,3 September 1928,sunk 27 February 1942,,,
Kountouriotis,Hellenic Navy,Kountouriotis,DD,1389,1933,decommissioned 1946,,,
Krakowiak,Polish Navy,Hunt,DD,1050,28 May 1941,"returned to RN September 1946, scrapped March 1959.",,,
Krasnoye Znamya,Soviet Navy,Krasnoye Znamya,GB,1735,1897,"Sunk on 18 November 1942, raised, decommissioned in 1960",,,
Krasny Kavkaz,Soviet Navy,Kraznyi Kavkaz,C,7560,25 January 1932,Sunk as a target 1956,,,
Krasnyi Krym,Soviet Navy,Krasnyi Krym,C,6800,1 July 1928,Sunk as target in 1959,,,
Kujawiak,Polish Navy,Hunt,DD,1050,17 June 1941,sunk 16 June 1942,,,
Kula Gulf,USA,Commencement Bay,CVE,10900,12 May 1945,scrapped 1971,,,
Kuma,JPN,Kuma,CL,5550,31 August 1920,"10 March 1944, sunk by HMS Tally-Ho west of Penang",,,
Kumano,JPN,Mogami,CA,13440,31 October 1931,sunk 15 November 1944,,,
Kwajalein,USA,Casablanca,CVE,7800,7 June 1944,"decommissioned 16 August 1946, scrapped 1961",,,
I-1,JPN,Type J1,cruiser submarine,2791,10 March 1926,wrecked 29 January 1943,,,
I-2,JPN,Type J1,cruiser submarine,2791,24 July 1926,sunk 7 April 1944,,,
I-3,JPN,Type J1,cruiser submarine,2791,30 November 1926,sunk 9 December 1942,,,
I-4,JPN,Type J1,cruiser submarine,2791,24 December 1929,sunk 21 December 1942,,,
I-5,JPN,Type J1 Modified,submarine aircraft carrier,2921,31 July 1932,sunk 19 July 1944,,,
I-6,JPN,Type J2,submarine aircraft carrier,2921,15 May 1935,sunk 16 June 1944,,,
I-7,JPN,Type J3,submarine aircraft carrier,3583,31 March 1937,wrecked 22 June 1943,,,
I-8,JPN,Type J3,submarine aircraft carrier,3583,5 December 1938,sunk 31 March 1945,,,
I-9,JPN,Type A1,submarine aircraft carrier,4129,13 February 1941,sunk 13 June 1943,,,
I-10,JPN,Type A1,submarine aircraft carrier,4129,31 October 1941,sunk 4 July 1944,,,
I-11,JPN,Type A1,submarine aircraft carrier,4129,16 May 1942,missing after 11 January 1944,,,
I-12,JPN,Type A2,SS,4150,25 May 1944,sunk 13 November 1944,,,
I-13,JPN,Type A3,submarine aircraft carrier,4762,16 December 1944,sunk 16 July 1945,,,
I-14,JPN,Type A3,submarine aircraft carrier,4762,14 March 1945,sunk as target 28 May 1946,,,
I-15,JPN,Type B1,submarine aircraft carrier,3654,30 September 1940,sunk 10 November 1942,,,
I-16,JPN,Type C1,midget submarine-carrying submarine,3561,30 March 1940,sunk 19 May 1944,,,
I-17,JPN,Type B1,submarine aircraft carrier,3654,24 January 1941,sunk 19 August 1943,,,
I-18,JPN,Type C1,midget submarine-carrying submarine,3561,31 January 1941,sunk 11 February 1943,,,
I-19,JPN,Type B1,submarine aircraft carrier,3654,28 April 1941,sunk 25 November 1943,,,
I-20,JPN,Type C1,midget submarine-carrying submarine,3561,26 September 1940,missing after 31 August 1943,,,
I-21,JPN,Type B1,submarine aircraft carrier,3654,15 July 1941,sunk 29 November 1943,,,
I-22,JPN,Type C1,midget submarine-carrying submarine,3561,10 March 1941,sunk 6 October 1942,,,
I-23,JPN,Type B1,submarine aircraft carrier,3654,27 September 1941,missing after 24 February 1942,,,
I-24,JPN,Type C1,midget submarine-carrying submarine,3561,31 October 1941,sunk 1 June 1943,,,
I-25,JPN,Type B1,submarine aircraft carrier,3654,15 October 1941,sunk 3 September 1943,,,
I-26,JPN,Type B1,submarine aircraft carrier,3654,6 November 1941,sunk 26 October 1944,,,
I-27,JPN,Type B1,submarine aircraft carrier,3654,24 February 1942,sunk 12 February 1944,,,
I-28,JPN,Type B1,submarine aircraft carrier,3654,6 February 1942,sunk 17 May 1942,,,
I-29,JPN,Type B1,submarine aircraft carrier,3654,27 February 1942,sunk 26 July 1944,,,
I-30,JPN,Type B1,submarine aircraft carrier,3654,28 February 1942,sunk 13 October 1942,,,
I-31,JPN,Type B1,submarine aircraft carrier,3654,30 May 1942,sunk 13 May 1943,,,
